day,supply_ID,machine,batch,measurement_id
1,83653926,720i,G,
1,22065710,SPN98i,I,
1,96527947,3434tt,A,
2,44621683,3434tt,I,
2,05654379,RSTv3,J,
4,38927756,3434tt,H,ADA9G9eem
4,15057509,720i,A,
4,50922879,3434tt,E,
5,10784908,RSTv3,B,
5,70695405,3434tt,D,
6,98171087,RSTv3,I,
6,96211169,SPN98i,J,q2T4cH6N2
6,29973189,SPN98i,E,
7,40770739,SPN98i,F,
7,37343838,3434tt,G,
7,93848874,BNPQF53,I,
8,80433405,3434tt,F,
8,12517483,BNPQF53,D,
8,02044228,SPN98i,B,
8,60776742,98u,E,Wf1MgHzef
8,46727712,3434tt,E,
10,25586147,SPN98i,E,
10,95150836,RSTv3,G,
10,56219532,SPN98i,G,
11,47828416,SPN98i,L,
11,05434069,SPN98i,C,
11,01612584,98u,D,p1scw9t1Z
11,04946480,SPN98i,F,zjz6TLFMw
12,14546555,3434tt,C,lhlf3b1gd
12,16979805,BNPQF53,D,
12,32096477,720i,G,
12,17651939,98u,H,
13,81486618,BNPQF53,K,
13,84066155,RSTv3,I,
13,36960527,720i,C,
13,71105408,RSTv3,I,
13,47691935,RSTv3,J,
13,76828124,720i,G,
13,79316408,98u,I,
14,96627291,SPN98i,K,
14,03322355,98u,K,
14,76999130,3434tt,L,
14,26267575,RSTv3,D,
14,03384378,98u,B,acEfe6OrH
15,18516897,98u,B,
15,09798528,3434tt,F,
16,02548015,SPN98i,K,
16,77172531,RSTv3,I,
16,78256573,98u,I,
16,18264059,SPN98i,H,
18,82501156,98u,F,
18,94076377,SPN98i,H,
18,54324912,SPN98i,B,
18,53289165,3434tt,K,
18,01122297,RSTv3,A,
19,25818877,RSTv3,C,
19,65174170,SPN98i,A,
19,09178992,3434tt,H,
19,97059140,3434tt,J,
19,56283715,RSTv3,L,uQS79Otts
20,58092031,98u,F,
20,67134055,RSTv3,K,
20,21953339,RSTv3,F,
20,50624660,3434tt,K,d8CPdxou0
20,03154418,720i,A,
20,74588477,RSTv3,K,
20,16608352,RSTv3,L,
21,23866088,720i,I,CBcXep4n0
21,55471221,RSTv3,E,vJG1aIAWw
22,39515718,3434tt,L,
22,17542755,RSTv3,C,
22,36155001,3434tt,B,AWh10v7IL
22,16172922,BNPQF53,I,
22,16615009,RSTv3,L,
22,17908034,720i,I,
22,79260564,98u,D,
22,29677564,SPN98i,G,
23,68656798,BNPQF53,G,
23,27827534,RSTv3,F,
24,05129496,98u,F,VICV8IgfI
24,90331123,SPN98i,G,
24,05674937,BNPQF53,A,
24,38680050,SPN98i,I,
25,91216829,3434tt,F,
25,02001975,98u,D,
25,03264594,98u,H,
25,65174560,SPN98i,G,
25,72302127,720i,C,
25,44232390,720i,F,54ksi0rfm
25,37039417,720i,J,
27,91212278,BNPQF53,K,
27,36382805,RSTv3,K,
28,67353625,98u,C,
28,72322140,SPN98i,A,
29,63658557,720i,B,
29,63520865,98u,K,
29,73810161,720i,K,
30,72919288,98u,I,
30,82310994,720i,H,
30,73072151,98u,C,
